actual_debt,canonical_claim,usable_revenue,debt_claim_ratio,funding_gap,discount_bps,bonus_output,critical
1045000,1000000,0,1.045,45000,360,1680,False
1045250,1000000,0,1.04525,45250,362,1699,False
1045500,1000000,0,1.0455,45500,364,1718,False
1045750,1000000,0,1.04575,45750,366,1738,False
1046000,1000000,0,1.046,46000,368,1757,False
1046250,1000000,0,1.04625,46250,370,1776,False
1046500,1000000,0,1.0465,46500,372,1796,False
1046750,1000000,0,1.04675,46750,374,1816,False
1047000,1000000,0,1.047,47000,376,1836,False
1047250,1000000,0,1.04725,47250,378,1856,False
1047500,1000000,0,1.0475,47500,380,1876,False
1047750,1000000,0,1.04775,47750,382,1896,False
1048000,1000000,0,1.048,48000,384,1916,False
1048250,1000000,0,1.04825,48250,386,1937,False
1048500,1000000,0,1.0485,48500,388,1957,False
1048750,1000000,0,1.04875,48750,390,1978,False
1049000,1000000,0,1.049,49000,392,1999,False
1049250,1000000,0,1.04925,49250,394,2020,False
1049500,1000000,0,1.0495,49500,396,2041,False
1049750,1000000,0,1.04975,49750,398,2062,False
1050000,1000000,0,1.05,50000,400,2083,False
1050250,1000000,0,1.05025,50250,402,2104,False
1050500,1000000,0,1.0505,50500,404,2126,False
1050750,1000000,0,1.05075,50750,406,2147,False
1051000,1000000,0,1.051,51000,408,2169,False
1051250,1000000,0,1.05125,51250,410,2191,False
1051500,1000000,0,1.0515,51500,412,2212,False
1051750,1000000,0,1.05175,51750,414,2234,False
1052000,1000000,0,1.052,52000,416,2257,False
1052250,1000000,0,1.05225,52250,418,2279,False
1052500,1000000,0,1.0525,52500,420,2301,False
1052750,1000000,0,1.05275,52750,422,2324,False
1053000,1000000,0,1.053,53000,424,2346,False
1053250,1000000,0,1.05325,53250,426,2369,False
1053500,1000000,0,1.0535,53500,428,2392,False
1053750,1000000,0,1.05375,53750,430,2415,False
1054000,1000000,0,1.054,54000,432,2438,False
1054250,1000000,0,1.05425,54250,434,2461,False
1054500,1000000,0,1.0545,54500,436,2484,False
1054750,1000000,0,1.05475,54750,438,2507,False
1055000,1000000,0,1.055,55000,440,2531,False
1055250,1000000,0,1.05525,55250,442,2554,False
1055500,1000000,0,1.0555,55500,444,2578,False
1055750,1000000,0,1.05575,55750,446,2602,False
1056000,1000000,0,1.056,56000,448,2626,False
1056250,1000000,0,1.05625,56250,450,2650,False
1056500,1000000,0,1.0565,56500,452,2674,False
1056750,1000000,0,1.05675,56750,454,2698,False
1057000,1000000,0,1.057,57000,456,2723,False
1057250,1000000,0,1.05725,57250,458,2747,False
1057500,1000000,0,1.0575,57500,460,2772,False
1057750,1000000,0,1.05775,57750,462,2797,False
1058000,1000000,0,1.058,58000,464,2822,False
1058250,1000000,0,1.05825,58250,466,2847,False
1058500,1000000,0,1.0585,58500,468,2872,False
1058750,1000000,0,1.05875,58750,470,2897,False
1059000,1000000,0,1.059,59000,472,2922,False
1059250,1000000,0,1.05925,59250,474,2948,False
1059500,1000000,0,1.0595,59500,476,2973,False
1059750,1000000,0,1.05975,59750,478,2999,False
1060000,1000000,0,1.06,60000,480,3025,False
1060250,1000000,0,1.06025,60250,482,3051,False
1060500,1000000,0,1.0605,60500,484,3077,False
1060750,1000000,0,1.06075,60750,486,3103,False
1061000,1000000,0,1.061,61000,488,3129,False
1061250,1000000,0,1.06125,61250,490,3155,False
1061500,1000000,0,1.0615,61500,492,3182,False
1061750,1000000,0,1.06175,61750,494,3208,False
1062000,1000000,0,1.062,62000,496,3235,False
1062250,1000000,0,1.06225,62250,498,3262,False
1062500,1000000,0,1.0625,62500,500,3289,False
1062750,1000000,0,1.06275,62750,500,3302,False
1063000,1000000,0,1.063,63000,500,3315,False
1063250,1000000,0,1.06325,63250,500,3328,False
1063500,1000000,0,1.0635,63500,500,3342,False
1063750,1000000,0,1.06375,63750,500,3355,False
1064000,1000000,0,1.064,64000,500,3368,False
