marginal_price,ordinary_base,ordinary_quote,inventory_ratio,active_liquidity
0.636,318.4884408760779,79.74960814950755,0.25040032200269924,100.0
0.638,318.2917466912317,79.87490219086342,0.25094870671701214,100.0
0.64,318.0959752321981,80.0,0.25149642318360993,100.0
0.642,317.90111930702756,80.12490249604052,0.2520434739918491,100.0
0.644,317.70717180200484,80.24961059095553,0.2525898617138146,100.0
0.646,317.514125680558,80.37412518964048,0.2531355889044843,100.0
0.648,317.3219739821864,80.49844718999243,0.2536806581018918,100.0
0.65,317.1307098214065,80.6225774829855,0.25422507182728676,100.0
0.652,316.9403263867156,80.7465169527454,0.2547688325852934,100.0
0.654,316.7508169395726,80.87026647662292,0.25531194286406766,100.0
0.656,316.56217481339684,80.99382692526635,0.25585440513545116,100.0
0.658,316.37439341258255,81.11719916269298,0.2563962218551246,100.0
0.66,316.1874662115308,81.24038404635961,0.25693739546275823,100.0
0.662,316.0013867536966,81.36338242723197,0.2574779283821614,100.0
0.664,315.81614865065205,81.48619514985346,0.25801782302142967,100.0
0.666,315.63174558116606,81.60882305241266,0.2585570817730899,100.0
0.668,315.4481712902972,81.7312669668102,0.25909570701424495,100.0
0.67,315.26541958850333,81.85352771872451,0.2596337011067148,100.0
0.6719999999999999,315.08348435076476,81.97560612767678,0.26017106639717724,100.0
0.674,314.9023595157221,82.09750300709517,0.26070780521730674,100.0
0.676,314.7220390848281,82.21921916437786,0.26124391988391077,100.0
0.6779999999999999,314.5425171215132,82.3407554009556,0.2617794126990659,100.0
0.6799999999999999,314.3637877503646,82.4621125123532,0.26231428595025114,100.0
0.6819999999999999,314.1858451563188,82.58329128825031,0.2628485419104802,100.0
0.684,314.00868358386674,82.70429251254133,0.263382182838432,100.0
0.6859999999999999,313.83229733627195,82.82511696339462,0.2639152109785799,100.0
0.688,313.65668077480115,82.94576541331088,0.2644476285613192,100.0
0.69,313.4818283179673,83.06623862918075,0.26497943780309313,100.0
0.692,313.3077344407844,83.18653737234169,0.26551064090651766,100.0
0.694,313.134393674034,83.30666239863412,0.2660412400605042,100.0
0.696,312.96180060354413,83.42661445845684,0.26657123744038197,100.0
0.6980000000000001,312.7899498694785,83.54639429682169,0.2671006352080176,100.0
0.7,312.6188361656375,83.66600265340756,0.2676294355119347,100.0
0.702,312.4484542387703,83.78544026261365,0.26815764048743085,100.0
0.704,312.27879888789715,83.90470785361212,0.2686852522566942,100.0
0.706,312.1098649636429,84.02380615040002,0.26921227292891814,100.0
0.708,311.94164736758023,84.14273587185052,0.26973870460041494,100.0
0.71,311.77414105158346,84.26149773176358,0.27026454935472793,100.0
0.712,311.6073410171924,84.38009243891594,0.27078980926274265,100.0
0.714,311.44124231498586,84.49852069711044,0.2713144863827964,100.0
0.716,311.2758400439645,84.61678320522472,0.271838582760787,100.0
0.718,311.1111293509439,84.73488065725944,0.2723621004302795,100.0
0.72,310.947105429956,84.8528137423857,0.27288504141261305,100.0
0.722,310.7837635216607,84.970583144992,0.27340740771700517,100.0
0.7224999899999999,310.743034869894,84.99999941176469,0.27353790712430165,100.0
0.72250001,310.74302957781185,85.00000323529412,0.27353792408723887,550.0
0.724,310.07239076943483,85.48504249601822,0.2756938219616709,550.0
0.726,309.18143489421857,86.13098489109746,0.27857747966195245,550.0
0.728,308.29415306674696,86.77603816943389,0.2814715663798091,550.0
0.73,307.41052010503387,87.42020599246422,0.28437610385810835,550.0
0.732,306.53051106806925,88.06349199656366,0.28729111398965423,550.0
0.734,305.65410125286303,88.70589979328567,0.29021661881742794,550.0
0.736,304.7812661915315,89.34743296959877,0.2931526405348379,550.0
0.738,303.9119816484291,89.98809508811968,0.29609920148597346,550.0
0.74,303.04622361732186,90.62788968734446,0.29905632416586975,550.0
0.742,302.1839683186023,91.26682028187668,0.3020240312207798,550.0
0.744,301.32519219654716,91.90489036265218,0.30500234544845106,550.0
0.746,300.46987191661344,92.54210339716204,0.30799128979841406,550.0
0.748,299.61798436277616,93.17846282967238,0.3109908873722757,550.0
0.75,298.76950663490413,93.81397208144124,0.3140011614240196,550.0
0.752,297.9244160461742,94.4486345509336,0.31702213536031687,550.0
0.754,297.0826901205239,95.08245361403306,0.3200538327408403,550.0
0.756,296.24430659014047,95.71543262425148,0.3230962772785894,550.0
0.758,295.4092433929861,96.34757491293618,0.3261494928402222,550.0
0.76,294.5774786703607,96.97888378947407,0.3292135034463914,550.0
0.762,293.7489907644972,97.60936254149432,0.3322883332720934,550.0
0.764,292.92375821619464,98.23901443506747,0.3353740066470177,550.0
0.766,292.1017597624821,98.8678427149034,0.3384705480559111,550.0
0.768,291.28297433431857,99.4958506045462,0.3415779821389435,550.0
0.77,290.4673810543245,100.12304130656675,0.3446963336920826,550.0
0.772,289.6549592345458,100.74941800275352,0.34782562766747754,550.0
0.774,288.84568837424973,101.37498385430096,0.3509658891738487,550.0
0.776,288.03954815775296,101.9997420019953,0.3541171434768821,550.0
0.778,287.23651845227823,102.62369556639881,0.3572794159996366,550.0
0.78,286.4365793058434,103.24684764803158,0.3604527323229534,550.0
